거래처,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서원플랜트(태성이엔지),수금,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
서원플랜트(태성이엔지),잔액,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310.0,2319310,0.0,0.0,0.0,0.0
세광산업1공장,이월,882200.0,3426500.0,479600.0,1229800.0,2120800.0,3494700.0,3305500.0,1133000,0.0,0.0,0.0,0.0
세광산업1공장,매출,3426500.0,479600.0,1229800.0,2120800.0,3494700.0,3305500.0,1133000.0,745800,0.0,0.0,0.0,0.0
세광산업1공장,수금,882200.0,3426500.0,479600.0,1229800.0,2120800.0,3494700.0,3305500.0,0,0.0,0.0,0.0,0.0
세광산업1공장,잔액,3426500.0,479600.0,1229800.0,2120800.0,3494700.0,3305500.0,1133000.0,1878800,0.0,0.0,0.0,0.0
세종산업가스,이월,14471973.0,14911083.0,20543547.0,21961557.0,22647150.0,27423610.0,26519710.0,34336235,0.0,0.0,0.0,0.0
세종산업가스,매출,14911083.0,20543547.0,21961557.0,22647150.0,27423609.0,26519711.0,34336236.0,20403018,0.0,0.0,0.0,0.0
세종산업가스,수금,14471973.0,14911083.0,20543547.0,21961557.0,22647150.0,27423610.0,26519711.0,34336236,0.0,0.0,0.0,0.0
세종산업가스,잔액,14911083.0,20543547.0,21961557.0,22647150.0,27423610.0,26519710.0,34336235.0,20403017,0.0,0.0,0.0,0.0
세진가스A,이월,1683857.0,1563978.0,1563978.0,1540000.0,1827958.0,2252998.0,5977840.0,5922400,0.0,0.0,0.0,0.0
세진가스A,매출,23980.0,0.0,0.0,287958.0,425040.0,4012800.0,369600.0,0,0.0,0.0,0.0,0.0
세진가스A,수금,143859.0,0.0,23978.0,0.0,0.0,287958.0,425040.0,0,0.0,0.0,0.0,0.0
세진가스A,잔액,1563978.0,1563978.0,1540000.0,1827958.0,2252998.0,5977840.0,5922400.0,5922400,0.0,0.0,0.0,0.0
세진가스텍(매크로드)구.태경,이월,71128.0,213383.0,355637.0,284508.0,426762.0,713508.0,500500.0,143000,0.0,0.0,0.0,0.0
세진가스텍(매크로드)구.태경,매출,213381.0,142254.0,142254.0,284508.0,429000.0,71500.0,71500.0,0,0.0,0.0,0.0,0.0
세진가스텍(매크로드)구.태경,수금,71127.0,0.0,213383.0,142254.0,142254.0,284508.0,429000.0,0,0.0,0.0,0.0,0.0
