영업담당자,거래처,매출일,품목명,입고량,출고량,단가,매출액
담당자없음,Z가스코아산(파라텍MR2),01/05,"Ar (LGC, 175L)",1,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍MR2),01/05,C2H2 (3kg),1,0,"35,000",0
담당자없음,Z가스코아산(파라텍MR2),01/05,"CO2 (공업용, 20kg)",2,2,"10,000","20,000"
담당자없음,Z가스코아산(파라텍MR2),01/05,LPG (20kg),0,2,"40,000","80,000"
담당자없음,Z가스코아산(파라텍MR2),01/05,"N2 (LGC, 175L)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍MR2),01/05,"O2 (공업용, 40L)",0,2,"4,830","9,660"
담당자없음,Z가스코아산(파라텍MR2),01/10,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍MR2),01/10,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍MR2),01/25,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍MR2),01/26,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍MR2),01/26,"N2 (LGC, 175L)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍MR2),01/26,"N2 (LGC, 175L, 고압용)",2,0,"50,400",0
담당자없음,Z가스코아산(파라텍MR2),02/10,Ar (일반),5,5,"15,000","75,000"
담당자없음,Z가스코아산(파라텍MR2),02/10,"Ar (LGC, 175L)",1,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍MR2),02/10,"N2 (LGC, 175L)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍MR2),02/21,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍MR2),02/28,Ar (일반),3,3,"15,000","45,000"
담당자없음,Z가스코아산(파라텍MR2),02/28,"Ar (LGC, 175L)",2,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍MR2),02/28,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍MR2),02/28,"N2 (LGC, 175L, 고압용)",0,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍MR2),02/28,"O2 (공업용, 40L)",1,0,"4,830",0
담당자없음,Z가스코아산(파라텍MR2),03/08,"Ar (LGC, 175L)",1,0,"144,900",0
담당자없음,Z가스코아산(파라텍MR2),03/08,"N2 (LGC, 175L)",3,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍MR2),03/08,"N2 (LGC, 175L, 고압용)",0,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍MR2),03/14,Ar (일반),4,4,"15,000","60,000"
담당자없음,Z가스코아산(파라텍MR2),03/14,"Ar (LGC, 175L)",1,0,"144,900",0
담당자없음,Z가스코아산(파라텍MR2),03/14,"CO2 (공업용, 20kg)",1,1,"10,000","10,000"
담당자없음,Z가스코아산(파라텍MR2),03/14,"N2 (LGC, 175L)",2,1,"50,400","50,400"
담당자없음,Z가스코아산(파라텍MR2),03/14,"N2 (LGC, 175L, 고압용)",2,2,"50,400","100,800"
담당자없음,Z가스코아산(파라텍MR2),03/18,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍MR2),03/22,Ar (일반),5,10,"15,000","150,000"
담당자없음,Z가스코아산(파라텍MR2),03/22,"O2 (공업용, 40L)",1,1,"4,830","4,830"
담당자없음,Z가스코아산(파라텍MR2),03/27,"Ar (LGC, 175L)",1,2,"144,900","289,800"
담당자없음,Z가스코아산(파라텍MR2),03/27,"CO2 (공업용, 20kg)",1,2,"10,000","20,000"
담당자없음,Z가스코아산(파라텍MR2),03/27,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍MR2),04/10,Ar (일반),6,6,"15,000","90,000"
담당자없음,Z가스코아산(파라텍MR2),04/10,"Ar (LGC, 175L)",2,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍MR2),04/10,"N2 (LGC, 175L)",1,3,"50,400","151,200"
담당자없음,Z가스코아산(파라텍MR2),04/10,"N2 (LGC, 175L, 고압용)",1,0,"50,400",0
담당자없음,Z가스코아산(파라텍MR2),04/10,"O2 (공업용, 40L)",1,1,"4,830","4,830"
담당자없음,Z가스코아산(파라텍MR2),04/11,"Ar (LGC, 175L)",0,1,"144,900","144,900"
담당자없음,Z가스코아산(파라텍MR2),04/18,입금 (가스매출),0,0,0,0
담당자없음,Z가스코아산(파라텍MR2),04/27,Ar (일반),3,3,"15,000","45,000"
